iter	Passed	Remaining
401	14557	3548
402	14591	3512
403	14626	3475
404	14661	3439
405	14698	3403
406	14731	3366
407	14773	3331
408	14816	3296
409	14854	3260
410	14888	3224
411	14932	3189
412	14986	3156
413	15018	3119
414	15052	3083
415	15087	3046
416	15122	3010
417	15159	2973
418	15199	2938
419	15232	2901
420	15268	2865
421	15307	2829
422	15343	2792
423	15379	2756
424	15416	2720
425	15450	2683
426	15491	2648
427	15527	2612
428	15561	2575
429	15605	2540
430	15648	2505
431	15707	2472
432	15761	2438
433	15809	2404
434	15868	2371
435	15910	2335
436	15950	2299
437	15987	2263
438	16027	2226
439	16062	2190
440	16115	2155
441	16146	2118
442	16178	2081
443	16213	2044
444	16250	2008
445	16292	1972
446	16333	1936
447	16375	1900
448	16416	1864
449	16452	1828
450	16490	1791
451	16525	1754
452	16563	1718
453	16601	1682
454	16635	1645
455	16682	1609
456	16719	1573
457	16755	1536
458	16789	1499
459	16822	1462
460	16855	1425
461	16892	1389
462	16928	1352
463	16965	1316
464	17000	1279
465	17033	1242
466	17066	1205
467	17099	1169
468	17134	1132
469	17167	1095
470	17200	1059
471	17230	1022
472	17262	985
473	17296	948
474	17328	912
475	17361	875
476	17395	838
477	17426	802
478	17460	765
479	17494	728
480	17529	692
481	17566	655
482	17600	619
483	17638	583
484	17670	546
485	17702	509
486	17738	473
487	17770	436
488	17800	400
489	17831	363
490	17863	327
491	17894	290
492	17925	254
493	17954	218
494	17988	181
495	18019	145
496	18058	109
497	18100	72
498	18146	36
499	18189	0
