iter	Logloss
0	0.5725230599
1	0.4992923917
2	0.4329388382
3	0.3803461586
4	0.3328855042
5	0.2981154039
6	0.2693079045
7	0.2393518269
8	0.217131866
9	0.1899503803
10	0.1703246634
11	0.1572174271
12	0.1471425119
13	0.1382209395
14	0.131481095
15	0.124407374
16	0.1198523145
17	0.1140066114
18	0.1110972845
19	0.1083702623
20	0.1058862131
21	0.1040861234
22	0.1021835124
23	0.09988184361
24	0.0984786258
25	0.09638938531
26	0.09543381618
27	0.09404869446
28	0.09317763196
29	0.0922989752
30	0.0911276792
31	0.09055081278
32	0.0899322535
33	0.08923440794
34	0.08822679908
35	0.08770710717
36	0.08742959818
37	0.08691351122
38	0.08647993123
39	0.08606698421
40	0.08592932606
41	0.08559835785
42	0.08528372028
43	0.08463370603
44	0.08434861227
45	0.08411623672
46	0.08385729099
47	0.0836420517
48	0.0834965035
49	0.08334610747
50	0.08315882646
51	0.08302181752
52	0.08292357181
53	0.08280951021
54	0.08236054747
55	0.08226874618
56	0.082173976
57	0.08206847495
58	0.08192242904
59	0.08153673993
60	0.0814451392
61	0.08134826303
62	0.08129342015
63	0.08123326879
64	0.08115294751
65	0.0810884736
66	0.08102450716
67	0.08096358424
68	0.08091870982
69	0.08086532201
70	0.08080484494
71	0.08074592286
72	0.08066799668
73	0.08060531325
74	0.08054827549
75	0.08031108076
76	0.08023852976
77	0.08017349365
78	0.08010665857
79	0.07988049931
80	0.07984364535
81	0.07981436582
82	0.0797687951
83	0.07972294874
84	0.07967526646
85	0.07961227792
86	0.07955556831
87	0.0795334916
88	0.07947928996
89	0.07943330399
90	0.07938606531
91	0.07933818449
92	0.07929143661
93	0.07923982084
94	0.07920163698
95	0.07915110216
96	0.07910724745
97	0.0790720931
98	0.07901432141
99	0.07896789076
100	0.07893979055
101	0.07891721096
102	0.07887586781
103	0.07885486911
104	0.07881635086
105	0.07877287241
106	0.07872014973
107	0.07858379457
108	0.07852997952
109	0.07847390072
110	0.07844078693
111	0.07840169268
112	0.07836295881
113	0.07833522099
114	0.0783086104
115	0.07828403169
116	0.07826516357
117	0.078227924
118	0.07819574971
119	0.07807826433
120	0.07805130807
121	0.07802722504
122	0.07790258298
123	0.07787112391
124	0.07785324286
125	0.0778336335
126	0.0778071171
127	0.07779101497
128	0.07776351015
129	0.07773309647
130	0.07769720633
131	0.07766765547
132	0.07764545601
133	0.07762658273
134	0.07757153334
135	0.07751201865
136	0.07746823441
137	0.07744648973
138	0.0774063245
139	0.07738480745
140	0.07734535033
141	0.07725945146
142	0.0772320092
143	0.07719906335
144	0.07716324754
145	0.07713587651
146	0.07710534671
147	0.0770948005
148	0.07699336331
149	0.07696594994
150	0.07692674324
151	0.07689886157
152	0.07687778707
153	0.07684084992
154	0.07681053337
155	0.07678820619
156	0.07676360772
157	0.0767408427
158	0.0767233745
159	0.07669757679
160	0.07667504936
161	0.07665585115
162	0.07663072087
163	0.07659956473
164	0.07657470023
165	0.07653868808
166	0.0765106708
167	0.07647995066
168	0.07646629947
169	0.07644514332
170	0.07642731325
171	0.07639639704
172	0.07637668723
173	0.07634270429
174	0.07630533086
175	0.07629063714
176	0.07623275507
177	0.07620555594
178	0.07618302722
179	0.0761525251
180	0.07612371323
181	0.07610768384
182	0.076085313
183	0.07606188616
184	0.07604520303
185	0.07601238329
186	0.07599157317
187	0.07596716858
188	0.07594292482
189	0.07592659185
190	0.0758924033
191	0.07586477002
192	0.07584034372
193	0.07581002181
194	0.07578649448
195	0.07577091722
196	0.07573077915
197	0.07569939755
198	0.07566483334
199	0.07563713178
200	0.07561901224
201	0.07559367984
202	0.07556919049
203	0.07554289209
204	0.07552080104
205	0.07550734385
206	0.07548946893
207	0.07547006172
208	0.07545922865
209	0.07544845104
210	0.07541298447
211	0.07535973337
212	0.07533545659
213	0.07531408669
214	0.07528934212
215	0.07525783309
216	0.07523695112
217	0.07520506883
218	0.07517577758
219	0.07516173263
220	0.0751566329
221	0.07513353502
222	0.07510418439
223	0.0750988128
224	0.0750798699
225	0.07506345483
226	0.07503301273
227	0.0750047129
228	0.07498158585
229	0.07496059261
230	0.0749371038
231	0.07491699822
232	0.07489511406
233	0.07487588217
234	0.07484905598
235	0.07483114623
236	0.07481144705
237	0.07478379184
238	0.0747594479
239	0.07474653172
240	0.07472416483
241	0.07469938246
242	0.0746753097
243	0.07467066048
244	0.07464721715
245	0.07462514477
246	0.07459791985
247	0.07457664433
248	0.0745429361
249	0.07452479008
250	0.07450722931
251	0.07449708524
252	0.07447792013
253	0.07445118169
254	0.0744476913
255	0.07443151413
256	0.07440574103
257	0.07439375984
258	0.07437019187
259	0.07435431175
260	0.07433234207
261	0.07432096224
262	0.07431792157
263	0.07430021826
264	0.07428395352
265	0.07425130349
266	0.07422968729
267	0.07420840865
268	0.07418602293
269	0.07415471663
270	0.07413602443
271	0.07411388511
272	0.07409722466
273	0.07408024043
274	0.07405179737
275	0.07402765979
276	0.07400770071
277	0.07398782511
278	0.07396074889
279	0.07395859347
280	0.073955168
281	0.07392933532
282	0.07390156123
283	0.07387910705
284	0.07386285701
285	0.0738376002
286	0.07381414699
287	0.07379387073
288	0.07378508398
289	0.07376358482
290	0.07372747038
291	0.07371429891
292	0.07371161144
293	0.073695862
294	0.07366682622
295	0.073649195
296	0.07362512063
297	0.07361029852
298	0.07358160917
299	0.07357966536
300	0.07355012797
301	0.07352859736
302	0.07350320978
